[	0.0000000000000000e+00	-2.0958146951480226e-19	]
[	3.1415926535897931e-01	9.7463902610627346e-16	]
[	6.2831853071795862e-01	-6.1159760711661952e-17	]
[	9.4247779607693793e-01	-4.2638673722755348e-16	]
[	1.2566370614359172e+00	-1.0564637316681331e-15	]
[	1.5707963267948966e+00	-8.7720521214303037e-17	]
[	1.8849555921538759e+00	8.3104078611726414e-16	]
[	2.1991148575128552e+00	4.7927412905492062e-16	]
[	2.5132741228718345e+00	3.8360375065406506e-16	]
[	2.8274333882308138e+00	1.9953158387753694e-16	]
[	3.1415926535897931e+00	3.7007898016128821e-16	]
[	3.4557519189487724e+00	5.9997863318151093e-16	]
[	3.7699111843077517e+00	3.7672645491803849e-16	]
[	4.0840704496667311e+00	5.2010894029671066e-15	]
[	4.3982297150257104e+00	1.4210213002841013e-14	]
[	4.7123889803846897e+00	2.3600569245794793e-11	]
[	5.0265482457436690e+00	4.5623243386847298e-09	]
[	5.3407075111026483e+00	-1.5458841757706791e-07	]
[	5.6548667764616276e+00	-7.5763836890111590e-07	]
[	5.9690260418206069e+00	-5.8592659732464977e-06	]
[	6.2831853071795862e+00	-5.8592659732464977e-06	]
