[	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00	4.9999999999996531e-01	-1.0024326977321874e-13	-1.0024143453222536e-13	4.9999999999944189e-01	0.0000000000000000e+00	]
[	3.1415926535897931e-01	2.6519166268738992e-01	6.9060385324852747e-01	4.9999999999987838e-01	-1.5258178744258694e-13	-1.5258028723740762e-13	4.9999999999976813e-01	8.0641490941633243e-03	]
[	6.2831853071795862e-01	4.3661137001886186e-01	4.0660707098390192e-01	4.9999999999979511e-01	-1.0162809047262030e-13	-1.0162683171505598e-13	4.9999999999993666e-01	4.9176557019430321e-02	]
[	9.4247779607693793e-01	5.2513995204921105e-01	1.6501874255294460e-01	4.9999999999975686e-01	-1.9608439708795299e-14	-1.9611883163062263e-14	4.9999999999999262e-01	1.2395443456354985e-01	]
[	1.2566370614359172e+00	5.4568798723563705e-01	-2.5300140201617024e-02	4.9999999999976746e-01	4.8692195819313796e-14	4.8691078853274781e-14	4.9999999999998640e-01	2.1571046940536773e-01	]
[	1.5707963267948966e+00	5.1485674293695427e-01	-1.6218427620994802e-01	4.9999999999981143e-01	8.5134272693840501e-14	8.5133005076987543e-14	4.9999999999995937e-01	3.0527224483116838e-01	]
[	1.8849555921538759e+00	4.4908783965168680e-01	-2.4854078580536351e-01	4.9999999999986794e-01	9.0577617654376653e-14	9.0576349545843681e-14	4.9999999999993616e-01	3.7905040351390873e-01	]
[	2.1991148575128552e+00	3.6332519003271541e-01	-2.9073754663594820e-01	4.9999999999992073e-01	7.5232360894831105e-14	7.5231330908925155e-14	4.9999999999992722e-01	4.3136282472814297e-01	]
[	2.5132741228718345e+00	2.7016341181605152e-01	-2.9713524498897231e-01	4.9999999999996064e-01	5.1152358152621771e-14	5.1151858355978919e-14	4.9999999999993222e-01	4.6314202815518329e-01	]
[	2.8274333882308138e+00	1.7942319607210713e-01	-2.7684780079027360e-01	4.9999999999998529e-01	2.7720078857623783e-14	2.7720107958270293e-14	4.9999999999994627e-01	4.7915778244954743e-01	]
[	3.1415926535897931e+00	9.8074176493025841e-02	-2.3877367116328901e-01	4.9999999999999684e-01	1.0224846607360607e-14	1.0231850914276700e-14	4.9999999999996325e-01	4.8529245208406019e-01	]
[	3.4557519189487724e+00	3.0418087577459250e-02	-1.9090646465204478e-01	4.9999999999999972e-01	7.8435903328834111e-17	8.4233022992659302e-17	4.9999999999997852e-01	4.8665900584510718e-01	]
[	3.7699111843077517e+00	-2.1553329174612130e-02	-1.3990736335262652e-01	4.9999999999999828e-01	-3.8552247573749568e-15	-3.8504457992319375e-15	4.9999999999998956e-01	4.8673284433470604e-01	]
[	4.0840704496667311e+00	-5.7702838868639181e-02	-9.0904801870244259e-02	4.9999999999999567e-01	-3.7330053786313977e-15	-3.7279949069932961e-15	4.9999999999999634e-01	4.8729297005833438e-01	]
[	4.3982297150257104e+00	-7.9259303145320592e-02	-4.7476898329427530e-02	4.9999999999999395e-01	-1.7876562650280150e-15	-1.7835307632215469e-15	4.9999999999999928e-01	4.8882784219920222e-01	]
[	4.7123889803846897e+00	-8.8346153637949343e-02	-1.1768830442976339e-02	4.9999999999999362e-01	3.1715795706929376e-16	3.2269472182173450e-16	4.9999999999999994e-01	4.9108586532869902e-01	]
[	5.0265482457436690e+00	-8.7561852262500947e-02	1.5301062710660666e-02	4.9999999999999428e-01	1.8102639484468950e-15	1.8145646972460700e-15	4.9999999999999933e-01	4.9355554177010869e-01	]
[	5.3407075111026483e+00	-7.9633509951222162e-02	3.3787643759904555e-02	4.9999999999999556e-01	2.4310171588342501e-15	2.4354972656643289e-15	4.9999999999999861e-01	4.9577822177855219e-01	]
[	5.6548667764616276e+00	-6.7153148101504329e-02	4.4452014987004872e-02	4.9999999999999661e-01	7.3931334560870555e-16	7.4277169923610312e-16	4.9999999999998818e-01	4.9748744794179778e-01	]
[	5.9690260418206069e+00	-5.2396372643279274e-02	4.8507181128870751e-02	4.9999999999999428e-01	-1.1106708912689275e-14	-1.1104407149966617e-14	4.9999999999992772e-01	4.9861963838839235e-01	]
[	6.2831853071795862e+00	-3.7216518442250782e-02	4.7394321687336621e-02	4.9999999999996531e-01	-1.0024326977321924e-13	-1.0024143453222541e-13	4.9999999999944189e-01	4.9925556271464816e-01	]
