[	0.0000000000000000e+00	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	2.0000000000000000e+00	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	4.0000000000000000e+00	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	6.0000000000000000e+00	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	8.0000000000000000e+00	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	1.0000000000000000e+01	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	1.2000000000000000e+01	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	1.4000000000000000e+01	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	1.6000000000000000e+01	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
[	1.8000000000000000e+01	2.7485401335790355e-01	5.3641951023762779e-01	2.9447658477982852e-01	]
