	0.0000000000000000e+00	6.5000000000000000e+00	1.2000000000000000e+01	2.2000000000000000e+01	0.0000000000000000e+00	
	2.3999999999999999e+00	6.6858281508526494e+00	1.1671475398728397e+01	2.2742259195753512e+01	2.2745197409665439e+00	
	4.7999999999999998e+00	6.8290101059256800e+00	1.1408437174288734e+01	2.3355546145696575e+01	4.3050827064591308e+00	
	7.2000000000000002e+00	6.9344394209420184e+00	1.1211084732994399e+01	2.3845065567905952e+01	6.1374005375277498e+00	
	9.5999999999999996e+00	7.0079620142497117e+00	1.1073478783201367e+01	2.4221997502066372e+01	7.8141587843093498e+00	
	1.2000000000000000e+01	7.0556956610481523e+00	1.0986377556820102e+01	2.4501063909979063e+01	9.3733111432639475e+00	
	1.4400000000000000e+01	7.0834831448771620e+00	1.0939396882757459e+01	2.4698422588756006e+01	1.0847196729034918e+01	
	1.6800000000000001e+01	7.0965309088306876e+00	1.0922466780641180e+01	2.4830060789069861e+01	1.2262328484385993e+01	
	1.9199999999999999e+01	7.0992265316079095e+00	1.0926673738885460e+01	2.4910721038467617e+01	1.3639663335652370e+01	
	2.1600000000000001e+01	7.0950962225204863e+00	1.0944636256975874e+01	2.4953296257962126e+01	1.4995171768219409e+01	
	2.4000000000000000e+01	7.0868549098520761e+00	1.0970567493969140e+01	2.4968587381589973e+01	1.6340556460733460e+01	
	2.6399999999999999e+01	7.0765070402806884e+00	1.1000154341449099e+01	2.4965311383953360e+01	1.7684009901325364e+01	
	2.8800000000000001e+01	7.0654672119339033e+00	1.1030347286016903e+01	2.4950263262880643e+01	1.9030938839224859e+01	
	3.1199999999999999e+01	7.0546808373539580e+00	1.1059122550726274e+01	2.4928558481387903e+01	2.0384614087263078e+01	
	3.3600000000000001e+01	7.0447338369031547e+00	1.1085252372339347e+01	2.4903904779885973e+01	2.1746726528966395e+01	
	3.6000000000000000e+01	7.0359464459063847e+00	1.1108101537457326e+01	2.4878870733860019e+01	2.3117845112593816e+01	
	3.8399999999999999e+01	7.0284499842645749e+00	1.1127457124032125e+01	2.4855132198732996e+01	2.4497781743608410e+01	
	4.0799999999999997e+01	7.0222475229687653e+00	1.1143391950559847e+01	2.4833687334764424e+01	2.5885872942928788e+01	
	4.3200000000000003e+01	7.0172603716492645e+00	1.1156158902877605e+01	2.4815037133828611e+01	2.7281190282044758e+01	
	4.5600000000000001e+01	7.0133626444992450e+00	1.1166111876787879e+01	2.4799332176285052e+01	2.8682691968633470e+01	
	4.8000000000000000e+01	7.0104061344885134e+00	1.1173648725613118e+01	2.4786488479501120e+01	3.0089327269469976e+01	
